article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
20,"A: I'm just a failure, I fail at everything I try.",A: I didn't get the promotion at work. B: I'm sorry to hear that. Did they give you feedback?,Core Belief
21,"A: Whenever someone criticizes my work, I immediately feel like I'm incompetent.",A: I had my performance review today and got some negative feedback... B: Was the feedback constructive at least?,Automatic Thought
22,"A: If I don't approach every project perfectly, I feel like I'm setting up for failure.","A: I'm starting a new project at work, but I'm stressed about it... B: Do you feel ready to tackle this project?",Intermediate Belief
23,"A: Every time I start a new project, I just feel overwhelmed and I quit.",A: I'm just not good at sticking to things... B: Sounds like starting new things is tough for you.,Automatic Thought
24,"A: I feel like a failure. I'm supposed to make people happy, but it seems impossible.",A: I just can't seem to do anything right... B: It's not your job to please everyone.,Core Belief
25,"A: Whenever someone doesn't laugh at my jokes, I immediately think they don't like me.",A: I get really nervous at social gatherings... B: Do you find it difficult interacting with new people at these events?,Automatic Thought
26,A: I'm sure that I'll be stuck in this dead-end job forever. I never catch a break.,A: I can't believe I missed out on that promotion... B: Do you feel like opportunities come your way often?,Automatic Thought
27,"A: Whenever I achieve something, it must be because it wasn't difficult, not because I'm competent.","A: I finally got the promotion at work! B: That's fantastic, you've worked so hard for it.",Intermediate Belief
28,"A: I feel like if I can't do this perfectly, I'm a complete failure.",A: This project is really challenging... B: But you've always been great at handling tough projects.,Intermediate Belief
29,"B: I get that it’s tough, but sometimes I feel like everything bad always happens to me.","A: It seems like you've had a string of bad luck lately with your car breaking down, then the leak in your apartment... B: Yeah, and now this issue at work, too.",Automatic Thought
30,"B: I'm always the one who has to compromise, like my needs aren't as important.",A: Our team seems to take advantage of your good nature. B: It’s because I can’t stand up for myself.,Core Belief
31,"A: It's like everyone's against me, I'll never be accepted anywhere.",B: Why do you feel left out at work? A: No one ever includes me in their plans.,Core Belief
32,A: I'm convinced I'm going to be alone forever because no one could possibly want to stay with me.,"A: I've just been dumped again. B: I'm sorry to hear that, do you want to talk about what happened?",Core Belief
33,A: I see people laughing nearby and think they're making fun of me.,A: Lately I can't shake the feeling of being judged... B: Are these feelings coming up in specific situations?,Automatic Thought
34,"A: If I can't even handle this task, then maybe I'm not as competent as I thought.",A: It's been a tough day; I made a mistake at work... B: Surely everyone makes mistakes now and then?,Intermediate Belief
35,A: I see them succeed and feel worthless; like I'll never achieve what they have.,A: Everyone at work is getting promotions and recognition... B: Isn't that a bit of a sweeping statement?,Intermediate Belief
36,"A: I'm clearly not smart enough, that's why I can never solve problems like my coworkers can.",A: I've been struggling with the new project at work... B: What makes you think you are struggling more than others?,Core Belief
37,"A: If I don’t get everything done today, I’ll never catch up and things will only get worse.",A: I have a huge list of things to do today... B: Can you possibly prioritize the list?,Intermediate Belief
38,"A: People noticed I was nervous during my presentation, they must think I'm incompetent.",A: I just finished giving a presentation and it didn’t go well... B: What went wrong during the presentation?,Automatic Thought
39,"A: If I don't get this job, it'll show I'm incapable of being successful at anything.","A: I'm really worried about this interview... B: Well, you've done a lot of preparation and practice!",Intermediate Belief
40,"A: I messed up on that question, I must be really stupid.","A: I just finished my exam... B: That's great, how do you think it went overall?",Automatic Thought
41,"A: Even when I do something right, it feels like I just got lucky.","A: I got the job offer, but honestly I believe anyone could have done it... B: That’s not true, you worked hard for it.",Intermediate Belief
42,"A: Sometimes I think if I'm not perfect, people won't respect me.","B: You seem to put a lot of pressure on yourself at work... A: Yeah, I always need to give 110%.",Core Belief
43,"A: I can't express my opinions, I will just sound stupid, and everyone will lose respect for me.","A: Have you shared your concerns with the team? B: No, I tend to keep things to myself.",Intermediate Belief
44,"A: No one ever listens to me, it’s like I’m invisible.",A: Did your friends say anything after you told them your ideas? B: They just ignored me and moved on.,Core Belief
45,"A: If I can't succeed in this project, then it means I can never be successful in any job.",A: I've been under a lot of stress with this new project... B: Isn't this your first major assignment?,Intermediate Belief
46,"A: I'm feeling quite worried that if I voice my opinion, my friends will think I'm being too dramatic.","B: Do you want to talk about what's bothering you? A: Whenever I talk about my problems, people seem disinterested.",Intermediate Belief
47,"I might have done okay on other projects, but with this one, I just know something will go wrong.",A: I'm feeling quite worried about this new project at work. B: But you always handle your projects so well!,Intermediate Belief
48,"A: I’m getting stressed because if I don’t get this promotion, it means I'm not as talented as I thought.",A: I've been up for promotion for a while now... B: You've been doing great work and deserving of that promotion.,Intermediate Belief
49,I always feel like I'm the odd one out and people are silently judging me.,"A: At every party, I just end up standing by myself... B: Have you tried reaching out to someone?",Automatic Thought
50,I'm convinced I'll never be satisfied with myself; I'm just not made to be happy.,"A: Why do you feel that happiness eludes you? B: I don't know, I just have always felt this way...",Core Belief
51,"A: Even when things go alright, I feel like it's just a matter of time before everything falls apart.","A: I had a good day at work for once... B: That's great to hear! You see, not every day is bad.",Automatic Thought
52,A: I guess deep down I've always felt I'm just not cut out for happiness.,"A: I don't know why, but I struggle to enjoy the good moments... B: Have you felt this way for a long time?",Core Belief
53,B: It seems like you're always convinced you'll mess things up at work.,A: I don't know why but I feel really inadequate at my job... B: Have you had any feedback to suggest that?,Intermediate Belief
54,"B: You've said you feel like a failure often, does that reflect how you generally see yourself?","A: I attempted that project, but it didn't meet my standards... B: But, you've succeeded in similar projects before, right?",Core Belief
55,A: I always mess things up. There's no point in trying because I'll just fail like I always do.,"A: Every time I've tried something new, it hasn't worked out... B: Maybe every situation is different and past failure doesn't predict future results?",Core Belief
56,"A: If I don't perform well in this project, my colleagues will think I'm incompetent.",A: I got assigned a new project at work. B: That sounds like a great opportunity to show your skills.,Intermediate Belief
57,A: It's just ridiculous to imagine they could promote me. I'm not leadership material.,"A: So the manager mentioned there would be upcoming promotions... B: Oh, that's promising! Have you considered you might be up for one?",Automatic Thought
58,"A: I don't want to bother trying to date again. I just always end up alone, it never works out.",A: Another relationship came to an end... B: I'm sorry to hear that. Have you thought about what happened?,Intermediate Belief
59,"A: I always mess things up, it's like I'm programmed to fail at social situations.",A: I completely blanked when they asked me that question... B: It takes practice to be comfortable in those settings.,Intermediate Belief
60,A: I think I'm inherently unlikable because people have never really wanted to be my friend.,"A: I don't have many friends, I usually spend my weekends alone... B: Have you found it difficult to make connections with people in the past?",Core Belief
61,A: I always mess things up when I'm under pressure.,A: I don't know why I can't just get it right... B: When do you feel that way most?,Automatic Thought
62,"A: I feel like if I don't perform well, it's because I'm not capable enough.",A: The deadline is coming up and I am not even halfway through... B: Are you doubting your ability to finish the task?,Intermediate Belief
63,"A: Every time I get invited to a social event, I just freeze up thinking everyone will judge me.",A: I don't like going out much lately. B: Oh? How come?,Automatic Thought
64,"A: I messed up at work again. I'm such an idiot, B: Come on, everyone makes mistakes now and then.",A: This is the third time this week I’ve made this mistake. B: But you’ve been working long hours.,Automatic Thought
65,"A: Even when things go a bit right, I can feel that it won't last long.",A: I've been so stressed out lately... B: Have there been some positive moments too?,Automatic Thought
66,A: I know I'm always overreacting to situations; it's just how I am.,A: My friends said I panicked over something trivial. B: Does that happen often to you?,Intermediate Belief
67,I can't even look at my to-do list without feeling overwhelmed.,"A: Lately, just thinking about work makes me tired... B: Sounds like you have a lot on your plate right now.",Automatic Thought
68,"I totally bombed the presentation, I'm such an idiot.","A: They kept asking questions I couldn't answer... B: Presentations can be tough, especially with a tough crowd.",Automatic Thought
69,"A: I'm just not a lovable person, it seems. People always leave me eventually.",A: I had another relationship end this week... B: That's tough. Were there any signs that things were not going well?,Core Belief
70,A: I can't shake the feeling that I'm going to be alone forever.,"A: I keep going to social events, but I never make any real connections... B: It sounds like you're putting yourself out there, though.",Core Belief
71,"A: If I don't get this job, it's because I'm not skilled enough.",A: The job market is really competitive right now... B: You have a strong resume and good experience.,Automatic Thought
72,"A: I always mess up relationships, it's usually my fault when things go wrong.",A: Yet another date didn't call back... B: Maybe it just wasn't the right match for you.,Intermediate Belief
73,A: I avoid speaking up in meetings; I just feel like my ideas are never that good.,"A: Work has been so stressful lately. B: You seem to have great contributions in team discussions, though.",Automatic Thought
74,A: I always end up alone at social events. Maybe I'm just not likable.,A: I'm dreading this company party... B: You'll meet a lot of new people; it could be fun!,Automatic Thought
75,B: Everyone seemed to be having a good time tonight except me. Maybe I'm just not a fun person.,"A: The party had such a lively atmosphere, didn’t you think so? B: I don’t know, I kind of felt out of place.",Automatic Thought
76,"B: I'm going to mess this up, I always do.",A: You’ve been studying for weeks for this exam. B: But what if that's not enough?,Automatic Thought
77,"A: If I can't do this right, then I must not be very smart or capable.",A: I've messed up the presentation twice now... B: It sounds like that's really bothering you.,Intermediate Belief
78,"A: I feel like if I speak up, my colleagues will think I'm incompetent.",A: The work environment is so competitive... B: Have you tried sharing your ideas during meetings?,Intermediate Belief
79,A: I just don't see the point in trying anymore; I always mess things up.,"A: Last time I worked on a project, I let everyone down... B: Was it entirely your responsibility though?",Automatic Thought
80,"A: If I don't perform well in this task, it proves that I'm incompetent.",A: I've been working harder since last month's review... B: And has there been an improvement in your assessments?,Intermediate Belief
81,A: It feels like every step I take just gets me in deeper trouble; it's like I'm cursed to always mess things up.,A: This project is stressing me out... B: What specifically about the project is troubling you?,Automatic Thought
82,"A: I'm convinced that I am completely inadequate for this job, nobody believes I can succeed.","A: I really struggle with my monthly targets... B: Tell me more, do you think it's about your performance or the targets?",Core Belief
83,"A: I feel like if I don't perform perfectly in this task, then it means I'm completely inadequate.",A: I've got this important task to do tomorrow and I'm stressed. B: Just give it your best shot.,Intermediate Belief
84,"A: If they criticize this report, it proves I'm a total failure and not cut out for this job.","A: I worked late nights on this report, but I'm still nervous about the feedback. B: You put in a lot of effort, I’m sure they’ll recognize that.",Core Belief
85,"A: If I speak up and share my idea, they will realize I'm not as competent as they think.","A: I have this great idea for the project, but... B: You should share it; the team would love your input!",Intermediate Belief
86,"A: I'm pretty sure if I confront him, he’ll just dismiss my feelings, like always.",A: I've had an issue with my roommate for weeks now. B: Maybe it's time to talk to him about it?,Intermediate Belief
87,"A: Every time I'm in a social situation, I just freeze up and can't speak.","A: I've always been shy, but it's been getting worse.... B: What happens exactly when you are around people?",Automatic Thought
88,"A: If I don't complete this task perfectly, my boss will think I'm incompetent.",A: This project is really stressing me out... B: Are you worried about meeting expectations?,Intermediate Belief
89,A: I can never get things right. I messed up again.,A: This is my third attempt at the project. B: And how does that feel?,Automatic Thought
90,A: Success is the only acceptable outcome and I must achieve it.,A: I've been promoted to the new position at work. B: You must be happy about that achievement.,Intermediate Belief
91,"A: I'm such an idiot, I forgot the simplest thing during the presentation.",A: I was in the middle of my presentation and then... B: What happened?,Automatic Thought
92,"A: Deep down, I know I'm just not lovable, nobody ever sticks around.",A: I've had yet another relationship end... B: Do you see a common reason for your relationships ending?,Core Belief
93,"A: I messed up again, I always do stupid things.","A: Oh no, I forgot to attach the document in the email... B: Did you send it after realizing the mistake?",Automatic Thought
94,"A: Deep down, I know I'm just a failure.","A: No matter how hard I try, I can’t seem to do anything right... B: You've been successful in many things before, though.",Core Belief
95,A: I always mess things up when it really counts.,"A: I’ve been upset about making a mistake at work today... B: Everybody makes mistakes now and then, right?",Automatic Thought
96,"A: I feel like if I can't excel at work, then I am completely worthless.",A: I got a performance review that wasn’t as great as I hoped... B: But does that define your whole self-worth?,Intermediate Belief
97,"A: Every time I'm under stress, I get these headaches right away.",A: The deadlines are really getting to me... B: Are you taking breaks and staying hydrated?,Automatic Thought
98,"A: If I don't perform perfectly in this task, I'll never advance in my career.",A: This is a critical task I'm assigned to... B: I'm sure you will do just fine with your skills.,Intermediate Belief
99,"A: Every time I make a mistake, I feel like my colleagues are judging me.",A: I messed up in the presentation today... B: It happens to everyone now and then.,Automatic Thought
100,"A: Honestly, I don't think I'm capable of maintaining any healthy relationship.",A: My last two relationships ended badly... B: Did you notice any common issues between those relationships?,Core Belief
101,A: I just know they're going to be disappointed in me again.,"A: Every time I do something, it just doesn't seem like enough for my family... B: Have you talked to your family about how you feel?",Intermediate Belief
102,B: Everybody at work is more capable than I am. I just can't compete.,A: How are things going at your new job? B: I honestly don’t feel like I fit in there at all.,Core Belief
103,A: I just can't shake the feeling that I'm going to make a fool of myself in front of everyone.,A: I'm really nervous about this presentation. B: You think it's not going well?,Automatic Thought
104,"A: I feel like if I don't respond to this email right away, my boss will think that I'm lazy.",A: My inbox is overwhelming right now... B: Can some of them wait until tomorrow?,Automatic Thought
105,"A: I'm such a failure, I can't do anything right.",A: Just got my exam score back and I failed... B: That's tough. Have you been struggling with the course content?,Intermediate Belief
106,A: I feel like I'll never be happy.,"A: Lifes just been really depressing recently... B: You've been through a lot, is there anything in particular that's troubling you?",Core Belief
107,"A: I don't know why I bother, I'm always the clumsy one in any situation.","A: Again, I tripped over while giving the presentation... B: But you managed to make everyone laugh and relax with it!",Automatic Thought
108,"A: Maybe I'm just not meant to be happy, that's probably what it is.","A: I've tried changing my job, moving to a new city, yet nothing works... B: Happiness can be elusive, but it often requires a sustained effort.",Intermediate Belief
109,A: I always mess up when it comes to public speaking.,"A: Every time I stand up to present, my mind goes blank... B: Have you tried practicing more?",Automatic Thought
110,A: I'm just not a lovable person; that's why I’m always alone.,A: I've never been in a long-term relationship... B: Have you thought about why that might be?,Core Belief
111,"A: It feels like if I can't get this right, I'll never be successful in anything.",A: I'm just worried about this project... B: But you've done similar projects successfully before.,Intermediate Belief
112,"A: I'm just always so clumsy, I knocked over my coffee again!",A: This morning is not starting out well for me... B: What happened to make you say that?,Automatic Thought
113,A: I am certain that everyone at work is talking behind my back.,A: I just can't shake off this feeling whenever I enter the break room... B: Have you actually heard anyone talking about you?,Automatic Thought
114,"A: If I don't get this job, it means I'm not smart enough and never will be.","A: I've been job hunting for months now and it's just so discouraging... B: It's a tough market, but your qualifications are solid.",Intermediate Belief
115,"A: Every time I start a new project, I just know it's going to be a disaster.",A: I'm always anxious when I have to start working on something new. B: What do you think causes that anxiety?,Automatic Thought
116,A: I got so nervous talking to him; I must have sounded so stupid.,"A: There was this guy I liked, and I finally had the chance to talk to him. B: Oh? How did that conversation go?",Automatic Thought
117,"A: If I don't get all these items ticked off my list today, my whole week will be ruined.","B: Have you got a lot to get through today? A: Yes, it's an incredibly long list as usual.",Automatic Thought
118,A: I think I can't trust my judgment anymore because I've made so many bad choices.,A: The last project I worked on was a disaster... B: Has it affected how you view your decision-making?,Intermediate Belief
119,I'm such a disappointment; I always mess things up.,Therapist: Tell me about an instance when you felt particularly low. Client: I got passed over for a promotion again.,Automatic Thought
120,"Even when people are nice to me, I just think they're pretending. Deep down, I know I'm unlovable.","Therapist: Do you feel like your friends and family care about you? Client: They say so, but...",Core Belief
121,A: I always mess things up as soon as things get tricky.,A: I'm really worried about this new project at work... B: Have you faced similar challenges before and overcome them?,Automatic Thought
122,A: I guess it's just that everyone else is smarter and I can't keep up.,"A: I don't know why I can't understand this material... B: Is it really that you can't, or maybe you haven't found the right strategy?",Automatic Thought
123,A: I'm just such a screw-up. I can't seem to do anything right.,A: I forgot to send that email and missed the deadline... B: Everyone makes mistakes sometimes.,Automatic Thought
124,A: People can't be trusted. They always leave when you need them most.,"A: My last few friendships didn’t last, despite everything I did. B: Have all your relationships been this way?",Core Belief
125,A: I just see their faces and blank out during presentations. It always happens.,"B: Have you tried practicing your presentation in front of friends? A: Yeah, but it's not the audience, it's me.",Automatic Thought
126,"A: I've always been told I won't amount to much, and now it just sticks with me.",B: You're saying these thoughts come up when you're facing a challenge? A: Absolutely. It's like a voice in my head telling me I can't make it.,Core Belief
127,A: Life is pointless and nothing has meaning.,A: Recently I've been feeling down and hopeless... B: Sounds like you've been having a tough time finding purpose.,Core Belief
128,"A: I feel so worthless, like I'm a burden to everyone.",A: I don't seem to fit in anywhere I go... B: You feel like you're not valued or that you don't belong?,Core Belief
129,"A: If I open up to them, they'll probably hold it against me.",A: I've never really been comfortable sharing my feelings. B: Do you think your friends would understand if you talked to them?,Intermediate Belief
130,A: I'm convinced I'm always going to be alone because I'm not likeable.,A: I don't get invited to many social events... B: Is that something that bothers you?,Core Belief
131,"A: Every time I make a suggestion at work, it feels like nobody listens.",A: I don't feel valued in my team... B: Have you tried expressing your ideas more loudly?,Automatic Thought
132,"A: I've always been told that if I'm not the best, then I am nothing.",A: My achievements never seem to be enough for my father... B: Did your father set a lot of expectations on you?,Core Belief
133,I mess up everything I try and it's impossible for me to do anything right.,A: I've just made another mistake at work... B: Do you often feel like you make more mistakes than others?,Intermediate Belief
134,"If I can't succeed in this task, then I must be a total failure as a person.",A: I just got my performance review and it wasn't great... B: How does that make you feel about your abilities?,Core Belief
135,"A: I should've said something in the meeting, but as usual, I couldn't speak up.","A: Meeting was a disaster, totally went silent... B: Don't be too hard on yourself, maybe next time you'll get a chance to express your thoughts.",Automatic Thought
136,"A: I just feel like if I can't excel at this job, then I'm not smart or talented.",A: I've been struggling with this new project... B: What do you think is causing the struggle?,Intermediate Belief
137,"A: If I speak up, I might say something wrong and everyone will judge me.","A: There's a meeting next week where we're supposed to present our ideas...
B: That’s a good opportunity to express your thoughts, don’t you think?",Intermediate Belief
138,"A: Ever since I lost my job, I feel like I’m not capable of maintaining a stable career.","A: Things have been rough since the company downsizing.
B: It’s understandable to be upset, you invested a lot of time there.",Intermediate Belief
139,"A: Every time I make a mistake, it just proves that I'm useless.","A: I messed up at work today... B: It's human to err, don't be too hard on yourself.",Automatic Thought
140,A: I feel like I'll always be alone because I'm just not lovable.,A: Another date that went nowhere... B: Not every date has to lead to something.,Core Belief
141,"A: Even when things go well, I have this nagging thought that people are just being nice out of pity.",A: I managed to get positive feedback on my presentation... B: That's great! You must be happy about it?,Automatic Thought
142,"A: Unless I know everything about a topic, I feel like I don't know enough to contribute to the discussion.",A: I hold back in meetings a lot... B: Is it because you feel you're not prepared?,Intermediate Belief
143,"A: If I can't even get this right, I’m clearly no good at my job.","A: I made a small mistake in the report yesterday... B: Everyone makes mistakes occasionally, you're generally very thorough.",Automatic Thought
144,A: Why even try when I know I'll be overlooked for the promotion anyway?,A: I’ve been with the company for years and yet... B: Do you feel they don't recognize your contributions?,Intermediate Belief
145,A: Everything always goes wrong in my life. It's just pointless.,"A: I lost my job despite all the effort I put in, followed by my car breaking down... B: That sounds extremely tough, tell me more about what happened.",Automatic Thought
146,"A: If they really knew me, they would realize I'm not that smart.","A: I just got praised at work for my project, but it was really just luck... B: Do you often feel like you don't deserve praise?",Intermediate Belief
147,"A: If I don't get perfect feedback, it means I'm incompetent.","A: This project review is stressing me out... B: You've got mostly positive feedback in the past, right?",Intermediate Belief
148,A: I just feel worthless when I think about looking for a new job.,"B: You're very skilled, and you'd be a great asset anywhere. A: I appreciate that, but it's hard to believe myself.",Core Belief
149,"A: When things get quiet, I start to feel like something bad is going to happen.","A: It's strange, but I can't seem to relax... B: Do you feel uneasy when there's no noise?",Automatic Thought
150,"A: I have to be perfect, otherwise I'm a total failure.","A: I'm really upset I only got a B+ on my assignment... B: That's still a good grade though, isn't it?",Intermediate Belief
151,"A: Every time I walk into a room, I just know everyone's judging me.",A: I hate going to social events... B: It sounds like you're feeling pretty self-conscious.,Automatic Thought
152,A: I messed up that presentation; I'm sure everyone thinks I'm incompetent.,A: I can't stop thinking about that work presentation last week. B: Were there any actual negative comments about it?,Automatic Thought
153,"A: Every time I try to speak up, my mind just goes blank.",A: I'm just not good at public speaking... B: Have you had many opportunities to practice?,Automatic Thought
154,"A: I feel like if they knew the real me, they would all disapprove.","A: Sometimes, I just put on a persona at work... B: Do you think people won't accept the authentic you?",Intermediate Belief
155,A: It seems I always mess things up. I'm such a disappointment.,"B: So you're saying you forgot to send the report on time again? A: Yes, I got caught up with other work and missed the deadline.",Core Belief
156,A: Everyone at work must think I'm incompetent. It's embarrassing.,A: I presented the wrong figures at the meeting today... B: Did anyone say anything to you about it?,Core Belief
157,I always mess things up with my friends.,"A: Recently, I've been feeling like I'm always the one at fault in social situations... B: Have there been many situations where you felt that way?",Automatic Thought
158,I'm certainly going to be overlooked for that promotion.,"A: I have been working hard and giving my best for months. B: Your performance reviews have been excellent, haven't they?",Automatic Thought
159,A: I messed up at work again today. I'm such an idiot.,A: I can't believe I made that mistake during the presentation... B: Everyone makes mistakes now and then.,Automatic Thought
160,"A: I'm feeling really overwhelmed right now, like I can't handle it anymore.",A: There's so much going on at work and at home I can't keep up... B: It sounds like you're under a lot of stress.,Automatic Thought
161,"A: Everyone is better than me, I'll never be competent or respected.","A: I just can't seem to finish any task as fast as my colleagues... B: You do deliver good work, even if it takes a bit more time, isn't it quality that counts?",Core Belief
162,A: It feels like I am a total failure and always will be.,"A: I didn't get the promotion, sometimes it feels like I'll never succeed. B: There’s a lot of competition, you have worked really hard; this isn't a reflection of your entire career.",Core Belief
163,A: I always seem to screw things up. It's inevitable.,"A: I just messed up on the presentation at work today... B: Everyone makes mistakes now and then, isn't that normal?",Core Belief
164,"A: I feel like if I don’t respond to work emails immediately, my boss will think I'm lazy.",A: I get anxious when my email notifications go off after work hours... B: Do you think you’re expected to be available at all times?,Intermediate Belief
165,"A: That last project I submitted, I know it had mistakes. I'll never be successful.","A: Work has been overwhelming this week... B: At least you've finished all your projects on time, right?",Automatic Thought
166,"A: If I make any more mistakes, they'll see I'm not as competent as they think I am.","A: They’ve been giving me more responsibilities at work lately... B: That’s because you’ve been doing a great job, haven’t you?",Intermediate Belief
167,"A: Even when things go right, I can't help but wait for something to go wrong.",A: I managed to finish that big project today... B: That's great! You must feel relieved?,Automatic Thought
168,"A: I just think if I don't do everything perfectly, I'll end up disappointing everyone.",A: I've been working on the presentation all week. B: It sounds like you've put in a lot of effort.,Intermediate Belief
169,A: I just always mess up and let everyone down.,A: They didn't seem impressed with my presentation today. B: You're probably being too hard on yourself.,Automatic Thought
170,A: I don't know why I try; everyone leaves eventually because I'm unlovable.,"A: My date went badly last night, they seemed disinterested. B: I'm sorry to hear that. Do you think it might have just been an off night?",Core Belief
171,A: I'm such an idiot for missing that question on the test.,A: I got my exam back and there was one question I missed for a silly reason... B: Everybody makes mistakes now and then.,Automatic Thought
172,A: I feel like I'm a failure and will never be able to succeed at anything.,"A: I've just been laid off from my job... B: That's tough, I'm sorry to hear that. Do you want to talk about it?",Core Belief
173,"A: It seems like everyone around me is always successful, and I am always the one lagging behind.","A: Just got to see another friend's promotion on social media... B: Hey, but remember your own achievements as well!",Core Belief
174,A: I guess I'm just not capable of being happy. Maybe I don't deserve it.,"A: Even when good things happen to me, I can't seem to enjoy them... B: That sounds like it's really weighing on you.",Core Belief
175,"A: Without me, the project will fall apart; I just know it.",A: I really can't miss work today... B: Are you feeling okay though?,Automatic Thought
176,"A: If I can't handle this task, then I'm clearly not cut out for this job.","A: They're giving me more responsibilities at work... B: That's a great opportunity, isn't it?",Intermediate Belief
177,A: Everyone will inevitably judge me for my mistakes.,"A: I can't seem to stop thinking about that error I made at work last week... B: You rectified the mistake quickly though, didn’t you?",Core Belief
178,A: I feel like a complete fraud and that everyone will soon realize that I'm not as competent as they think.,"A: I just got promoted, but I'm not sure I'm right for the role... B: You’ve worked hard and earned that position.",Core Belief
179,"A: Even if I manage to do something right, I'm afraid I won't be able to sustain it.",A: I can't shake the feeling that I'm a fraud... B: You've successfully led projects before.,Intermediate Belief
180,"A: I guess at the end of the day, I feel that I'm inherently unlovable.","A: I have been on a few dates, but they never call back... B: Do you feel there is something holding you back in relationships?",Core Belief
181,A: I feel like a disaster is about to happen if I don't get this right.,"A: I've triple-checked my presentation, but yet something seems off. B: Are you feeling worried about any specific part?",Automatic Thought
182,A: I always mess things up in the final moment.,A: I don't know why I even try. B: What happened last time wasn't entirely in your control.,Automatic Thought
183,"A: I always mess up relationships, maybe I'm just not meant to be with anyone.","A: My last relationship just ended... B: That's tough, do you know what went wrong?",Core Belief
184,"A: If I can't answer a question during the presentation, everyone will think I'm incompetent.",A: I am worried about the upcoming presentation. B: Why is that?,Intermediate Belief
185,"A: If I mess up this presentation, it could jeopardize my career.","A: There's a lot riding on my work presentation next week... B: You've done these before successfully, haven't you?",Intermediate Belief
186,"A: I'm worried because if I don't get along with my coworkers, they probably won't include me in important projects.","A: I just started a new job, and it's important to make a good impression. B: Just be yourself and collaborate as you always do.",Intermediate Belief
187,"A: I just think if I don't get this project right, it means I'm not cut out for this job.","A: I am so stressed about this upcoming project... B: You are very diligent, and your last project was a success, wasn't it?",Intermediate Belief
188,"A: Even though I'm putting in the hours at work, I just feel like I'm not suited for this career.",A: I've been logging in so many extra hours at work lately... B: Do you feel like your efforts are being recognized?,Intermediate Belief
189,A: Sometimes I feel like I'm a complete failure when things go wrong.,A: I messed up today's presentation... B: Didn't you work hard on preparing it though?,Automatic Thought
190,"A: I'm afraid that if I show my true feelings, people will think I'm weak and reject me.","A: I always have to keep a smiling face, even when I'm not ok... B: Do you worry about how others perceive you?",Core Belief
191,A: I'm such an idiot for not knowing the answer. Everyone must think I'm stupid.,A: Nobody else seemed to struggle with the question. B: It was a tough question.,Intermediate Belief
192,A: I always ruin everything because I can't make good decisions.,"A: Just like last time, this project isn't going to work out. B: Let's look at what happened before jumping to conclusions.",Intermediate Belief
